sex,female,classyear,year,conc,hair,vegetarian,glasses,athlete,coffee,exercise,height,heartrate
male,0,freshman,1,social_sciences,brown,0,0,0,0,5,71,68
male,0,senior,4,natural_sciences,black,0,1,0,0,2,69,72
male,0,sophomore,2,social_sciences,brown,0,0,0,0,2,73,62
female,1,sophomore,2,economics,black,0,1,0,0,15,61,70
male,0,sophomore,2,social_sciences,blonde,0,0,1,0,12,72,68
male,0,freshman,1,economics,black,1,0,0,0,4,70,66
female,1,sophomore,2,social_sciences,black,0,1,0,0,3,62,58
female,1,sophomore,2,economics,blonde,0,1,0,1,4,66,76
female,1,sophomore,2,social_sciences,black,0,0,0,0,0,63,78
female,1,junior,3,natural_sciences,black,0,1,0,0,1,59,60
